seme;posto;giocatore;pv;strategia;sopra;quota_max;costruiti;lampo;cultura;rendita;monumenti;verticalita;continuita;scavo;scheletri;eredita;effetti_finali;piano;centro_attivato;oro_centro
700049;2;1;81;scavo;6;4;10;7;0;25;4;25;8;3;5;4;0;0;2;4
700049;3;0;58;lampo;1;2;10;16;0;20;0;11;7;2;0;0;2;0;0;3
700050;1;1;108;verticale;8;5;10;18;1;17;0;46;10;5;3;0;8;0;1;8
700050;2;2;98;bilanciata;6;5;9;10;0;22;5;27;12;3;5;4;10;0;5;9
700050;3;0;72;scavo;5;4;13;11;2;29;0;15;9;2;0;4;0;0;3;6
700051;1;1;95;bilanciata;4;4;9;8;1;23;0;40;7;5;7;4;0;0;1;6
700051;2;0;92;verticale;8;5;10;10;1;16;0;31;12;7;7;0;8;0;4;6
700051;3;2;76;obiettivi;4;5;10;14;0;3;4;28;12;9;6;0;0;0;1;2
700052;1;2;115;rendita;6;5;11;12;0;13;0;52;12;21;5;0;0;0;2;2
700052;2;0;100;bilanciata;4;5;7;4;2;48;4;20;7;5;5;4;1;0;0;2
700052;3;1;83;obiettivi;4;5;10;16;2;17;4;28;7;2;0;4;3;0;0;2
700053;1;0;114;obiettivi;5;5;10;13;0;35;4;35;12;9;0;5;1;0;2;8
700053;2;1;91;rendita;4;3;9;6;1;30;5;20;12;2;2;4;9;0;5;8
700053;3;2;58;lampo;6;3;11;22;0;0;0;15;9;7;5;0;0;0;1;0
700054;1;2;117;scavo;7;4;12;18;1;22;0;26;9;24;4;5;8;0;1;8
700054;2;0;108;rendita;5;4;9;5;0;50;4;35;12;2;0;0;0;0;7;10
700054;3;1;88;lampo;6;4;13;21;0;10;4;27;14;9;0;0;3;0;4;6
700055;1;0;115;lampo;5;4;13;24;1;33;4;30;9;5;0;5;4;0;0;6
700055;2;2;86;verticale;8;5;10;14;0;4;0;42;9;4;12;0;1;0;2;5
700055;3;1;61;scavo;3;3;9;3;1;25;5;13;12;2;0;0;0;0;4;5
700056;1;2;99;bilanciata;6;5;10;12;0;18;0;37;10;9;9;4;0;0;1;1
700056;2;0;93;scavo;6;4;13;10;0;23;4;28;14;8;0;4;2;0;0;1
700056;3;1;64;verticale;8;5;10;18;1;1;0;23;6;8;2;5;0;0;0;0
700057;1;1;117;bilanciata;5;4;9;17;1;25;5;41;9;4;8;5;2;0;0;0
700057;2;2;68;obiettivi;6;5;11;8;0;10;0;29;10;5;3;0;3;0;0;0
700057;3;0;63;verticale;6;3;9;10;2;17;4;18;4;2;0;4;2;0;0;0
700058;1;1;111;obiettivi;6;5;11;8;0;34;5;29;9;10;5;4;7;0;3;5
700058;2;0;99;bilanciata;6;4;12;13;1;33;0;31;6;4;0;4;7;0;0;2
700058;3;2;61;rendita;6;4;9;12;0;12;0;20;7;10;0;0;0;0;2;3
700059;1;1;95;rendita;6;4;10;5;3;20;4;40;8;10;0;5;0;0;4;8
700059;2;2;77;lampo;4;4;11;22;1;10;0;19;7;12;0;4;2;0;2;5
700059;3;0;76;obiettivi;3;4;11;9;0;17;5;18;14;9;0;4;0;0;2;4
700060;1;0;117;rendita;7;4;10;4;1;54;5;33;14;0;0;5;1;0;4;7
700060;2;2;76;scavo;3;3;10;15;0;3;5;18;12;16;2;0;5;0;3;7
700060;3;1;68;lampo;3;4;13;24;0;0;0;20;11;9;0;0;4;0;0;1
700061;1;0;143;lampo;5;5;14;24;0;45;0;46;12;3;0;0;13;0;2;5
700061;2;1;80;scavo;8;5;11;15;0;19;4;25;9;7;0;0;1;0;3;5
700061;3;2;62;verticale;7;4;11;13;1;3;4;17;9;10;5;0;0;0;0;0
700062;1;2;106;bilanciata;4;5;10;8;1;25;5;33;17;15;0;0;2;0;2;7
700062;2;1;96;verticale;6;5;10;18;0;18;0;32;7;9;0;0;12;0;3;5
700062;3;0;88;scavo;5;5;8;12;0;37;0;19;7;2;0;4;7;0;2;7
700063;1;0;102;verticale;8;4;12;17;0;4;5;43;12;15;2;4;0;0;0;0
700063;2;2;95;obiettivi;4;4;9;15;1;30;0;19;9;10;7;4;0;0;0;2
700063;3;1;69;bilanciata;5;4;10;10;0;12;0;27;6;2;9;0;3;0;2;2
700064;1;0;116;bilanciata;4;4;10;12;3;32;5;41;12;4;0;5;2;0;1;7
700064;2;2;84;rendita;3;4;8;2;1;34;4;21;9;6;3;4;0;0;3;7
700064;3;1;75;obiettivi;6;4;9;11;1;10;0;20;7;8;12;4;2;0;3;5
700065;1;0;98;obiettivi;5;4;8;12;3;20;4;38;8;2;7;4;0;0;3;6
700065;2;1;88;rendita;3;3;10;4;1;49;0;16;9;4;0;5;0;0;2;7
700065;3;2;79;lampo;4;3;13;26;0;19;4;15;6;5;0;4;0;0;2;2
700066;1;1;101;lampo;6;5;12;15;0;21;4;31;17;8;0;5;0;0;2;5
700066;2;2;86;scavo;6;5;12;18;4;5;4;34;9;3;2;5;2;0;3;7
700066;3;0;83;rendita;4;4;8;7;3;32;0;18;8;5;0;4;6;0;4;7
700067;1;1;137;scavo;7;4;11;14;2;30;0;57;13;4;0;5;12;0;1;4
700067;2;2;74;verticale;7;5;9;10;0;10;5;20;7;14;4;4;0;0;0;1
700067;3;0;66;lampo;5;3;12;22;0;5;5;16;10;6;0;0;2;0;3;4
700068;1;1;81;verticale;6;5;8;11;1;22;0;24;5;11;0;5;2;0;0;1
700068;2;2;74;bilanciata;4;4;7;3;2;20;4;30;9;2;0;4;0;0;0;0
700068;3;0;45;scavo;5;4;8;3;0;9;0;20;7;2;4;0;0;0;1;1
